priority_rank,resource_id,url,claim_count,category,description,already_ingested_by_this_library
293,RES-0250,https://www.toronto.ca/wp-content/uploads/2024/12/949f-TorontosCurrentandFutureClimate-REPORT-Final.pdf,1,City of Toronto (primary govt),City of Toronto — Toronto's Current and Future Climate Report,yes
294,RES-0255,https://www.toronto.ca/wp-content/uploads/2025/11/978e-HousingTO2024-2025ProgressReport.pdf,1,City of Toronto (primary govt),HousingTO 2024-2025 Annual Progress Report,yes
295,RES-0258,https://www.toronto.ca/wp-content/uploads/2026/03/967f-2026-Public-Book-TPS-V1.pdf,1,City of Toronto (primary govt),2026 TPS Program Summary Book,no
296,RES-0261,https://www.torontoauditor.ca/report/audit-of-toronto-shelter-and-support-services-warming-centres-and-winter-respite-sites-understanding-and-addressing-demand-while-improving-financial-accountability-to-stretch-dollars-furthe/,1,Toronto Auditor General,Toronto Auditor General,no
297,RES-0262,https://www.torontoauditor.ca/report/city-of-torontos-modular-housing-initiative-the-need-to-balance-fast-delivery-with-stronger-management-of-contracts-and-costs/,1,Toronto Auditor General,Toronto Auditor General June 2023 audit City of Torontos Modular Housing Initiative,no
298,RES-0263,https://www.torontoauditor.ca/report/opening-doors-to-stable-housing-an-effective-waiting-list-and-reduced-vacancy-rates-will-help-more-people-access-housing/,1,Toronto Auditor General,Toronto Auditor General,no
299,RES-0265,https://www.torontoauditor.ca/report/part-2-of-the-audit-of-emergency-shelters-lessons-learned-from-hotel-operations/,1,Toronto Auditor General,"Toronto Auditor General — Part 2 of the Audit of Emergency Shelters: Lessons Learned from Hotel Operations (May 20, 2022)",yes
300,RES-0267,https://www.torontofinancialdistrict.com/s/D6-BIAs-Letter-Encampment-Approach-and-Strategy-EC138-May-29-2024.pdf,1,Other (www.torontofinancialdistrict.com),D6 BIAs letter to Councillor Bravo ECDC May 28 2024 obtained via Toronto Financial District BIA publ,no
301,RES-0268,https://www.torontofinancialdistrict.com/s/Letter-to-Federal-Government-on-IHAP-Program-Expansion-from-Downtown-Toronto-BIA-Alliance-2025-08-26.pdf,1,Other (www.torontofinancialdistrict.com),Downtown Toronto BIA Alliance letter to PM Carney August 26 2025 obtained via Toronto Financial Dist,no
302,RES-0269,https://www.torontohousing.ca,1,Other (www.torontohousing.ca),TCHC 2024 annual data,no
303,RES-0270,https://www.torontotoday.ca/local/city-hall/city-workers-strike-rally-cupe79-deadline-10338349,1,News (other outlet),TorontoToday March 7 2025,no
304,RES-0271,https://www.torontotoday.ca/local/city-hall/thousands-of-beds-not-made-available-at-city-warming-shelters-audit-finds-10227091,1,News (other outlet),TorontoToday.ca February 14 2025 reporting on Audit Committee meeting,no
305,RES-0272,https://www.torontotoday.ca/local/city-hall/toronto-eliminated-nearly-all-encampments-near-schools-playgrounds-11746394,1,News (other outlet),TorontoToday Jan 2026 citing TSSS General Manager Gord Tanner,no
306,RES-0274,https://www.torontotoday.ca/local/policy/ywca-toronto-workers-strike-labour-negotiations-stall-shelter-10605426,1,News (other outlet),TorontoToday May 2025 reporting on CUPE Local 2189 labour dispute,no
307,RES-0275,https://www.tps.ca/mental-health/,1,Other (www.tps.ca),Toronto Police Service Mental Health page,no
308,RES-0276,https://www.ttc.ca/riding-the-ttc/safety-and-security/TTC-Community-Safety-Plan,1,TTC,TTC Community Safety Plan (official page),yes
309,RES-0277,https://www.varke.fi/en/statistics/homelessness/homeless-people-2024,1,Other (www.varke.fi),Finland ARA/Varke — Homeless People 2024,yes
310,RES-0278,https://www.visaverge.com/news/canada-sends-procedural-fairness-letters-to-30000-asylum-seekers-under-bill-c-12/,1,Other (www.visaverge.com),IRCC notices reported April 10 2026 and visaverge.com analysis of Bill C-12,no
311,RES-0279,https://www.ziprecruiter.com/Jobs/Shelter-Security/--in-Ontario,1,Other (www.ziprecruiter.com),Real Toronto-area job postings via ZipRecruiter and Glassdoor cross-referenced against named shelter,no
312,RES-0281,https://www3.ohrc.on.ca/en/policy-human-rights-and-rental-housing/vii-social-housing,1,Other (www3.ohrc.on.ca),Ontario Human Rights Commission Policy on Human Rights and Rental Housing,no
313,RES-0283,https://www.wellesleyinstitute.com/,1,Sector nonprofit/network,"wellesleyinstitute.com - RESOLVED July 2026, see CL-490",no
314,RES-0288,https://www3.ohrc.on.ca/,1,Government of Ontario (primary govt),"OHRC - RESOLVED July 2026, led to major Waterloo ruling finding, see CL-493",no
315,RES-0296,https://ysaatio.fi/en/,1,Sector nonprofit/network,"Y-Foundation/Varke Finland - RESOLVED July 2026, see CL-462, 2025 homelessness increase confirmed",no
316,RES-0298,https://www.canlii.org/,1,Government of Canada (primary govt),"canlii.org - RESOLVED July 2026, see CL-492",no
317,RES-0300,https://www.cbc.ca/news/canada/toronto/regent-park-hart-hub-drug-consumption-site-9.7163775,1,News (CBC),"CBC News Apr 17 2026 - Haydn Watters - Inside a HART Hub, Regent Park firsthand account, Phoenix Babiak quote confirmed",no
318,RES-0301,https://www.oagottawa.ca/news/posts/auditor-general-tables-supportive-housing-audit/,1,Government of Canada (primary govt),Ottawa Auditor General Supportive Housing Audit - confirmed June 2025 (not 2026 as originally flagged),no
319,RES-0302,https://rabble.ca/podcast/diana-chan-mcnally-bringing-community-work-to-torontos-city-council/,1,News (other outlet),rabble.ca podcast confirming Diana Chan McNally Ward 4 candidacy - already independently captured in DERIV-012,no
320,RES-0303,https://ccla.org/,1,Sector nonprofit/network,"ccla.org - RESOLVED July 2026, see CL-491",no
321,RES-0304,https://ysaatio.fi/en/homelessness-in-finland/,1,Sector nonprofit/network,"Y-Foundation/Varke Finland - RESOLVED July 2026, see CL-462, 2025 homelessness increase confirmed",no
322,RES-0310,https://drugchecking.community/drug-information/carfentanil-3/,1,Sector nonprofit/network,Toronto Drug Checking Service carfentanil contamination data - see CL-480,no
323,RES-0311,https://www.myhealthunit.ca/en/news/health-unit-extends-drug-alert-a-second-time-as-overdose-activity-exceeds-pandemic-levels.aspx,1,Government of Ontario (primary govt),North Bay Parry Sound Health Unit April 2026 - see CL-481,no
324,RES-0312,https://catalyst.nejm.org/doi/full/10.1056/CAT.22.0301,1,Academic (journal),"NEJM Catalyst Managed Alcohol Programs review, 30-50% AUD prevalence - see CL-482",no
325,RES-0313,https://www.uvic.ca/research/centres/cisur/projects/map/index.php,1,Academic (research centre),CMAPS/Seaton House MAP origin story - see CL-483,no
326,RES-0314,https://www.camh.ca/en/camh-news-and-stories/backgrounder-addressing-the-mental-health-and-addictions-crisis-in-toronto,1,Sector nonprofit/network,CAMH methamphetamine/stimulant crisis backgrounder - see CL-484,no
327,RES-0317,https://www.socialplanningtoronto.org/march_2026_newsletter,1,Sector nonprofit/network,SPT March 2026 newsletter - SCS deaths prevented figure - see CL-487,no
328,RES-0319,https://www.wellesleyinstitute.com/ontario-2026-budget-our-submission-on-supportive-housing/,1,Sector nonprofit/network,"8-org coalition, 40000 supportive housing units ask - see CL-490",no
329,RES-0320,https://ccla.org/press-release/ccla-opposes-expansion-of-arrest-powers-to-transit-special-constables-under-public-substance-use-law/,1,Sector nonprofit/network,CCLA transit special constable opposition - see CL-491,no
330,RES-0321,https://www.canlii.org/en/on/laws/stat/so-2006-c-17/latest/so-2006-c-17.html,1,Government of Canada (primary govt),CanLII RTA + Slapsys v Abrams precedent - see CL-492,no
331,RES-0322,https://www.newswire.ca/news-releases/statement-an-important-milestone-that-affirms-the-human-rights-of-people-experiencing-homelessness-835876085.html,1,Government of Canada (primary govt),"Federal Housing Advocate/CHRC joint statement on Waterloo ruling - MAJOR finding, see CL-493",no
332,RES-0324,https://ilrtoday.ca/ontario-and-waterloo-region-appealing-court-decision-on-kitchener-encampment/,1,Government of Ontario (primary govt),"Ontario/Waterloo joint appeal announcement - CRITICAL caveat source, see CL-496",no
333,RES-0325,https://www.communityedition.ca/they-are-not-the-other-they-are-us-gibson-rules-on-100vic/,1,News (other outlet),Ford attacks judge over Waterloo ruling - see CL-497,no
334,RES-0327,https://www.sunshineliststats.com/Salary/gordontanner/2025/9/cityoftoronto,1,Government of Ontario (primary govt),TSSS GM Gordon Tanner salary + City aggregate - see CL-499,no
335,RES-0328,https://www.sunshineliststats.com/Employer/9/2024/governingcouncilofthesalvationarmyincanada,1,Government of Ontario (primary govt),Salvation Army national Sunshine List scope caveat - see CL-500,no
336,RES-0330,https://www.sunshineliststats.com/ontario/employers/city-of-toronto/,1,Government of Ontario (primary govt),City of Toronto full top-15 executive breakdown - see CL-502,no
337,RES-0331,https://rocketreach.co/homes-first-profile_b5f7a7bbf42d2aaa,1,Commercial data aggregator,"Homes First 275-employee estimate, conflicts with ZoomInfo - see CL-503",no
338,RES-0334,https://www.charityintelligence.ca/charity-details/1093-loft-community-services,1,Sector nonprofit/network,LOFT Community Services financial profile - see CL-513,no
339,RES-0335,https://www.charityintelligence.ca/charity-details/632-good-shepherd-ministries,1,Sector nonprofit/network,Good Shepherd Ministries Toronto financial profile - see CL-514,no
340,RES-0336,https://www.charityintelligence.ca/charity-details/158-eva-s-initiatives,1,Sector nonprofit/network,Eva's Initiatives financial profile - see CL-515,no
341,RES-0337,https://www.nameres.org/,1,Sector nonprofit/network,Na-Me-Res/Sojourn House/Houselink & Mainstay scale context - see CL-516,no
342,RES-0338,https://www.charityintelligence.ca/charity-details/434-scott-mission,1,Sector nonprofit/network,Scott Mission financial profile - see CL-522,no
343,RES-0339,https://www.charitydata.ca/charity/margarets-housing-and-community-support-services-inc/118890391RR0001/,1,Sector nonprofit/network,"Margaret's confirmed real, no financial profile - see CL-523",no
344,RES-0340,https://homesfirst.on.ca/wp-content/uploads/2022/02/4__-_HFS_2018_Audited_Statements-1.pdf,1,Sector nonprofit/network,Homes First 2018 per-property financial breakdown - see CL-524,no
345,RES-0344,https://www.cfthhouston.org/2025-pit-results,1,Government of Ontario (primary govt),Houston PIT count correction - see CL-529,no
346,RES-0345,https://www.researchgate.net/publication/258699841_Risks_and_assets_for_homelessness_prevention_A_literature_review_for_the_Calgary_Homelessness_Foundation,1,Academic/peer-reviewed,Calgary cost figures correction - see CL-530,no
347,RES-0348,https://dixonhall.org/housing-services/,1,Sector nonprofit/network,Dixon Hall subcontractor partnership - see CL-533,no
348,RES-0349,https://www.ohchr.org/en/special-procedures/sr-housing,1,Academic/peer-reviewed,UN Special Rapporteur claim confirmed - see CL-534,no
349,RES-0350,https://pmc.ncbi.nlm.nih.gov/articles/PMC10805133/,1,Academic/peer-reviewed,Kidd heat mortality figure unconfirmed - see CL-535,no
350,RES-0352,https://www.slideshare.net/naehomelessness/per-diem-rates-for-purchase-of-service-shelters,1,Government of Ontario (primary govt),Per diem contract document type confirmed - see CL-540,no
351,RES-0353,https://www.toronto.ca/community-people/housing-shelter/building-affordable-homes/housingto-2020-2030-action-plan/,1,Government of Ontario (primary govt),Dixon Hall governance role confirmed - see CL-541,no
352,RES-0359,https://www.missingmiddleinitiative.ca/p/ontarios-record-low-family-housing,1,News media,Housing starts ranking verification - see CL-569,no
353,RES-0361,https://rabble.ca/human-rights/experts-and-activists-warn-torontos-encampment-crackdown-masks-a-deeper-housing-crisis/,1,News media,New Toronto Initiative lawsuit - see CL-574,no
354,RES-0362,https://www.ontario.ca/laws/regulation/980134 + https://feedontario.ca/wp-content/uploads/2019/04/Feed-Ontario-Report-Social-Assistance-Changes-2019.pdf,1,Backfilled (auto),Ontario Regulation 134/98 (OW rate $733); Feed Ontario 2019 (1990 rate ~70%); On,no
355,RES-0363,https://www.varke.fi/en/statistics/homelessness/homeless-people-2025,1,Backfilled (auto),Varke Finland Homeless people 2025 report and Y-Saatio official statements,no
356,RES-0364,https://pmc.ncbi.nlm.nih.gov/articles/PMC3969120/,1,Backfilled (auto),Multiple peer-reviewed sources including PMC studies on Housing First fidelity a,no
357,RES-0365,https://www.dianachanmcnally.ca/,1,Backfilled (auto),Official campaign site Wikipedia 2026 Toronto municipal election and City of Tor,no
358,RES-0366,https://www.toronto.ca/community-people/housing-shelter/building-affordable-homes/housing-initiatives/coordinated-access-to-housing-supports/,1,Backfilled (auto),City of Toronto official Coordinated Access to Housing and Supports page,no
359,RES-0367,https://www.cbc.ca/news/canada/toronto/encampments-toronto-declined-homelessness-9.7045950,1,Backfilled (auto),Global News and CBC News January 2026 reporting on City budget committee stateme,no
360,RES-0368,https://www.urban.org/research/publication/denver-supportive-housing-social-impact-bond-initiative-final-outcome-payments,1,Backfilled (auto),Urban Institute Denver Supportive Housing Social Impact Bond Initiative Final Ou,no
361,RES-0369,https://www.ices.on.ca/news-releases/surge-in-fatal-opioid-overdoses-in-ontario-shelters-report-finds/,1,Backfilled (auto),ICES news release summarizing the Ontario Drug Policy Research Network St Michae,no
362,RES-0371,https://www.charitydata.ca/charity/fred-victor-centre/118931377RR0001/,1,Backfilled (auto),Direct research attempt across ZoomInfo SignalHire CRA T3010 guidance and organi,no
363,RES-0372,https://www.sunshineliststats.com/Salary/neilhetherington/2018/9/dixonhall,1,Backfilled (auto),Multiple independent biographical sources plus direct Sunshine List record retri,no
364,RES-0373,https://www.ontariosunshinelist.com/employers/fred-victor-centre/,1,Backfilled (auto),Second independent LLM extraction,no
365,RES-0374,https://homelesshub.ca/blog/2020/cost-savings-associated-housing-first/,1,Backfilled (auto),Risks and Assets for Homelessness Prevention literature review for Calgary Homel,no
366,RES-0375,https://www.bankofcanada.ca/rates/related/inflation-calculator/,1,Backfilled (auto),Calculated from CL-542 and the librarys existing verified 136 dollar 2023 figure,no
367,RES-0376,https://www.cbc.ca/,1,Backfilled (auto),Externally-provided LLM research citing CBC The Fifth Estate and Toronto Sun rep,no
368,RES-0377,https://www.change.org/,1,Backfilled (auto),Explicit source-chain identification from externally-provided research itself,no
369,RES-0378,https://www.ontario.ca/,1,Backfilled (auto),Externally-provided LLM research referencing a known Ontario provincial policy e,no
370,RES-0379,https://secure.toronto.ca/council/,1,Backfilled (auto),Campaign researcher direct primary research via City of Toronto council meeting ,no
371,RES-0380,https://rabble.ca/columnists/toronto-shelter-spending-scandal-29-million-should-buy-more-than-hotdogs/,1,Backfilled (auto),Auditor General audit analysis via Cathy Crowe column cross-validated against pr,no
372,RES-0381,https://vancouversun.com/news/local-news/vancouver-election-results-2022,1,Backfilled (auto),Two independent externally-provided research passes with matching specific figur,no
373,RES-0382,https://abacusdata.ca/ontario-politics-abacus-october-2024/,1,Backfilled (auto),Unanimous convergent finding across eight independent externally-provided resear,no
374,RES-0383,https://www.acto.ca/major-legal-victory-at-the-divisional-court-for-survivor-tenant/,1,Backfilled (auto),ACTO official case announcement direct primary source retrieval,no
375,RES-0384,https://ccla.org/wp-content/uploads/2026/02/2026-02-25-CCLA-Submissions-on-Proposed-New-Regulation-RPCISA-to-Extend-Authorities-to-Transit-Special-Constables-.pdf,1,Backfilled (auto),CCLA official formal submission PDF and official press release direct primary so,no
376,RES-0385,https://www.toronto.ca/news/toronto-city-council-ratifies-collective-agreement-with-cupe-local-79/,1,Backfilled (auto),City of Toronto official news release direct primary source retrieval,no
377,RES-0386,https://www.health.gov.on.ca/en/public/publications/mental/mentalreform.aspx,1,Backfilled (auto),Ontario Ministry of Health and Long-Term Care official publication direct primar,no
378,RES-0388,https://www.cbc.ca/news/canada/ottawa/city-ottawa-increase-homelessness-prevention-program-1.6852471,1,Backfilled (auto),CBC News direct primary source retrieval,no
379,RES-0389,https://www.cbc.ca/news/canada/toronto/ontario-opens-nine-hart-hubs-1.7498827,1,Backfilled (auto),CBC News direct primary source retrieval,no
380,RES-0391,https://www.ola.org/en/legislative-business/bills/parliament-44/session-1/bill-6,1,Backfilled (auto),Legislative Assembly of Ontario official bill page direct primary source retriev,no
381,RES-0392,https://chronicle.durhamcollege.ca/2025/11/ontarios-homelessness-bill-fails-amid-growing-housing-crisis/,1,Backfilled (auto),The Chronicle Durham College direct primary press source retrieval,no
382,RES-0393,https://www.cbc.ca/news/canada/toronto/budget-2025-ttc-outreach-workers-1.7451065,1,Backfilled (auto),CBC News direct primary press source retrieval,no
383,RES-0394,https://www.cbc.ca/news/canada/toronto/toronto-library-crisis-services-1.7634871,1,Backfilled (auto),CBC News direct primary press source retrieval cross-checked against multiple sy,no
384,RES-0395,https://www.canada.ca/en/immigration-refugees-citizenship/news/2026/03/new-immigration-and-asylum-measures-from-bill-c-12-the-strengthening-canadas-immigration-system-and-borders-act-have-become-law.html,1,Backfilled (auto),Canada.ca official government primary source retrieval CBC News direct primary p,no
385,RES-0396,https://www.canada.ca/en/treasury-board-secretariat/services/federal-regulatory-management/guidelines-tools/policy-cost-benefit-analysis.html,1,Backfilled (auto),Treasury Board of Canada Secretariat and Association of Municipalities of Ontari,no
386,RES-0397,https://homelesshub.ca/resource/risks-and-assets-homelessness-prevention-literature-review-calgary-homeless-foundation,1,Backfilled (auto),Homeless Hub direct primary source retrieval,no
387,RES-0398,https://caeh.ca/london-solves-vet-homelessness/,1,Backfilled (auto),Canadian Alliance to End Homelessness direct primary source retrieval,no
388,RES-0399,https://www.toronto.ca/wp-content/uploads/2024/05/98a4-MITM-Five-Year-Annual-Gathering-Summary-Report-2023AODA.pdf,1,Backfilled (auto),City of Toronto Meeting in the Middle Fifth Annual Gathering Summary Report dire,no
389,RES-0400,https://www.toronto.ca/community-people/get-involved/public-consultations/aboriginal-affairs-advisory-committee-review/,1,Backfilled (auto),City of Toronto Aboriginal Affairs Advisory Committee Review direct primary sour,no
390,RES-0401,https://housing-infrastructure.canada.ca/homelessness-sans-abri/reports-rapports/everyone-counts-2025-tout-monde-compte-eng.html,1,Backfilled (auto),Housing Infrastructure and Communities Canada official Everyone Counts 2025 repo,no
391,RES-0402,https://tassc.ca/?page_id=34,1,Backfilled (auto),TASSC official page and peer-reviewed Our Health Counts Toronto study both direc,no
392,RES-0403,http://blog.indigenouspolicy.org/index.php/ipj/article/view/723/689,1,Backfilled (auto),Indigenous Policy Journal and APTN News direct primary source retrieval,no
393,RES-0404,https://bccla.org/2021/05/bill-c-15-implementing-undrip-what-should-this-mean-for-the-first-nations-inuit-and-the-metis-in-relationship-to-canada/,1,Backfilled (auto),BC Civil Liberties Association direct primary source retrieval,no
394,RES-0405,https://housing-infrastructure.canada.ca/homelessness-sans-abri/reports-rapports/data-shelter-2024-donnees-refuge-eng.html,1,Backfilled (auto),Housing Infrastructure and Communities Canada direct primary source retrieval,no
395,RES-0406,https://www.scholaro.com/db/News/canadas-international-student-cap-2026-348,1,Backfilled (auto),Scholaro and immigration.ca reporting citing IRCC data direct primary source ret,no
396,RES-0407,https://www.visaverge.com/news/canadas-pgwp-expiration-crisis-31610-graduates-at-risk-by-2025/,1,Backfilled (auto),VisaVerge citing The Financial Express and IRCC data direct primary source retri,no
397,RES-0408,https://www.cicnews.com/2026/05/out-of-status-temporary-residents-gain-additional-options-under-new-rules-0574854.html,1,Backfilled (auto),CIC News citing official IRCC instructions direct primary source retrieval,no
398,RES-0409,https://documents.un.org/doc/undoc/gen/g24/120/97/pdf/g2412097.pdf,1,Backfilled (auto),United Nations official document and OHCHR press release direct primary source r,no
399,RES-0410,https://openpolicyontario.com/an-ontario-disability-odsp-ontario-works-ow-index/,1,Backfilled (auto),Open Policy Ontario direct primary source retrieval same trusted source as CL-44,no
400,RES-0411,https://kmb.camh.ca/eenet/sites/default/files/pdfs/The%20Real%20Cost%20of%20Homelessness.pdf,1,Backfilled (auto),Gaetz 2012 Real Cost of Homelessness report cross-verified via CAMH knowledge mo,no
401,RES-0412,https://homelesshub.ca/sites/default/files/WithoutAHome-final.pdf,1,Backfilled (auto),Gaetz OGrady Kidd Schwan 2016 direct primary source retrieval full report review,no
402,RES-0413,https://www.homelesshub.ca/sites/default/files/attachments/COHPreventionFramework_1.pdf,1,Backfilled (auto),Gaetz and Dej 2017 Gaetz et al 2018 and Gaetz et al 2024 direct primary source r,no
403,RES-0414,https://www.homelesshub.ca/,1,Backfilled (auto),Gaetz et al 2012 and Gaetz 2016 Canadian Observatory on Homelessness official de,no
404,RES-0417,https://homelesshub.ca/book/where-am-i-going-to-go-intersectional-approaches-to-ending-lgbtq2s-youth-homelessness-in-canada-the-u-s/,1,Backfilled (auto),Homeless Hub official book page direct primary source retrieval for book-level c,no
405,RES-0418,https://yorkspace.library.yorku.ca/items/e78ec5a9-056f-421c-94e9-6acda0f95a5c,1,Backfilled (auto),Gaetz and Scott 2012 and Gaetz 2013 direct primary source retrieval with media c,no
406,RES-0420,https://jfcy.org/wp-content/uploads/2013/10/GaetzReportFinal.pdf,1,Backfilled (auto),Gaetz 2002 Street Justice direct primary source retrieval full text 208 youth su,no
407,RES-0422,https://doi.org/10.1016/j.childyouth.2023.107088,1,Backfilled (auto),Bonakdar Gaetz Banchani Schwan Kidd OGrady 2023 Children and Youth Services Revi,no
408,RES-0423,https://pubmed.ncbi.nlm.nih.gov/33525910/,1,Backfilled (auto),Kidd Gaetz OGrady Schwan et al Canadian Journal of Psychiatry 2021 direct primar,no
409,RES-0428,https://news.ontario.ca/en/backgrounder/34673/a-place-to-call-home-report-of-the-expert-advisory-panel-on-homelessness,1,Backfilled (auto),"Ontario government official backgrounder and primary report direct retrieval, Ga",no
410,RES-0429,https://edu.yorku.ca/edu-profiles/index.php?mid=112721,1,Backfilled (auto),Confirmed real via York University faculty bibliography,no
411,RES-0430,https://www150.statcan.gc.ca/n1/en/catalogue/98M0001X2021001,1,Backfilled (auto),Statistics Canada official catalogue product page direct primary source retrieva,no
412,RES-0431,https://www12.statcan.gc.ca/census-recensement/2026/ref/98-20-0005/2026002/98-20-00052026002-eng.cfm,1,Backfilled (auto),Statistics Canada official content change report and Homeless Hub direct primary,no
413,RES-0432,https://www.pivotlegal.org/canada_must_recognize_the_rights_of_homeless_un_report,1,Backfilled (auto),Confirmed via legal affidavit citing primary UN documents directly plus GlobeNew,no
414,RES-0433,https://www.ohchr.org/en/statements-and-speeches/2009/10/united-nations-expert-adequate-housing-calls-immediate-attention,1,Backfilled (auto),OHCHR official statement and UN Digital Library record direct primary source ret,no
415,RES-0434,https://www.chrc-ccdp.gc.ca/sites/default/files/documents/final-report-federal-housing-advocate-s-review-of-encampments_0.pdf,1,Backfilled (auto),Canadian Human Rights Commission direct primary source retrieval of both the 202,no
416,RES-0435,https://emergency.unhcr.org/emergency-assistance/shelter-camp-and-settlement/shelter-and-housing/emergency-shelter-solutions-and-standards,1,Backfilled (auto),UNHCR SPHERE implementation guide and Toronto Shelter Standards direct primary s,no
417,RES-0436,https://ca.vlex.com/vid/housing-services-act-2011-751580241,1,Backfilled (auto),Direct statutory text retrieval of the Housing Services Act 2011,no
418,RES-0441,https://www.toronto.ca/legdocs/mmis/2026/bu/comm/communicationfile-202433.pdf,1,Backfilled (auto),Direct retrieval of the exact URL cited by the external report,no
419,RES-0442,https://www.ohchr.org/en/documents/thematic-reports/ahcr6143add3-domicide-mass-destruction-housing-and-civilian,1,Backfilled (auto),OHCHR direct primary source retrieval,no
420,RES-0443,https://www.cbc.ca/news/politics/immigration-thirty-thousand-ineligible-asylum-9.7158489,1,Backfilled (auto),CBC and visaverge.com direct primary source retrieval already verified in an ear,no
421,RES-0444,https://www.tdin.ca/,1,Backfilled (auto),Toronto Drop-In Network direct primary source retrieval cross-referenced against,no
422,RES-0445,https://secure.toronto.ca/council/agenda-item.do?item=2023.EC3.13,1,Backfilled (auto),"City of Toronto press release and TMMIS agenda item, cross-confirmed via Globe a",no
423,RES-0446,https://www.cbc.ca/news/canada/toronto/toronto-election-donations-fitzrovia-chris-moise-1.7324548,1,Backfilled (auto),CBC News direct investigation of financial disclosures,no
424,RES-0447,https://acorncanada.org/wp-content/uploads/2021/10/Who-Controls-Toronto-People-or-Developer-0.pdf,1,Backfilled (auto),ACORN Canada direct primary source PDF retrieval,no
425,RES-0448,https://www.charityintelligence.ca/charity-details/480-calgary-drop-in,1,Backfilled (auto),Charity Intelligence calculation from Calgary Drop-In and Rehab Centre Society C,no
426,RES-0450,https://pub-ottawa.escribemeetings.com/filestream.ashx?DocumentId=234707,1,Backfilled (auto),City of Ottawa council document direct primary source retrieval,no
427,RES-0451,https://www.charityintelligence.ca/charity-details/780-mission-old-brewery,1,Backfilled (auto),Direct search across Mission Old Brewery Charity Intelligence data and BC Housin,no
428,RES-0452,https://www.canadahelps.org/en/charities/john-howard-society-of-toronto/,1,Backfilled (auto),CanadaHelps and CRA charity registry cross-referenced directly,no
429,RES-0453,https://www.charitydata.ca/charity/fife-house-foundation-inc/130401573RR0001/,1,Backfilled (auto),Fife House own site and charitydata.ca cross-referenced directly,no
430,RES-0454,https://ca.linkedin.com/company/nativechild,1,Backfilled (auto),Childrens Aid Foundation of Canada LinkedIn announcement cross-referenced agains,no
431,RES-0455,https://www.conccommunity.org/shelters-and-housing/,1,Backfilled (auto),CONC own website direct primary source retrieval,no
432,RES-0456,https://secure.toronto.ca/council/agenda-item.do?item=2024.CC24.2,1,Backfilled (auto),City of Toronto direct primary source agenda item and staff report,no
433,RES-0457,https://www.cbc.ca/news/canada/toronto/warming-centre-rejects-motion-1.6741544,1,Backfilled (auto),CBC News direct primary reporting cross confirmed across five additional indepen,no
434,RES-0458,https://www.thetrillium.ca/news/health/ontario-shutting-down-supervised-consumption-sites-without-assessing-harm-to-drug-users-auditor-9897812,1,Backfilled (auto),The Trillium direct reporting on Ontario Auditor General Shelley Spence opioid s,no
435,RES-0459,https://www.guelphtoday.com/local-news/ontario-shutting-down-supervised-consumption-sites-without-assessing-harm-auditor-9898447,1,Backfilled (auto),Guelph Today direct reporting on the Auditor General report specific statistics,no
436,RES-0460,https://www.torontotoday.ca/local/city-hall/four-doug-ford-hart-hubs-open-toronto-what-are-they-10755292,1,Backfilled (auto),TorontoToday direct site visit journalism,no
437,RES-0461,https://secure.toronto.ca/council/agenda-item.do?item=2024.BA96.3,1,Backfilled (auto),City of Toronto Chief Procurement Officer bid award report direct primary source,no
438,RES-0462,https://www.ontario.ca/page/public-sector-salary-disclosure,1,Backfilled (auto),Ontario Sunshine List direct primary source provided by user,no
439,RES-0466,https://www.toronto.ca/wp-content/uploads/2021/06/9633-10PointShelterHarmReduction210528AODA.pdf,1,City of Toronto primary govt (Toronto Public Health/The Works),"10-Point Shelter Harm Reduction plan, March 2021 - read in full, ingested into HMK-004, connects to REC S-06 and REC M-13",yes
440,RES-0487,https://secure.toronto.ca/council/agenda-item.do?item=2025.EX27.1,1,City of Toronto primary govt (not yet ingested),"2025.EX27.1 agenda item, subject unconfirmed",no
441,RES-0488,https://www.toronto.ca/wp-content/uploads/2021/11/9885-Attachment-2-Homelessness-Solutions-Service-Plan.pdf,1,City of Toronto primary govt (adopted Council 2021.EC25.5),"Homelessness Solutions Service Plan, 2021 - read in full, ingested into HMK-004, foundational TSSS 3-year plan comparable to HousingTO",yes
442,RES-0517,https://open.toronto.ca/dataset/deaths-of-shelter-residents/,1,Backfilled (auto),City of Toronto Deaths of Shelter Residents Open Data supplied directly,no
443,RES-0518,https://open.toronto.ca/dataset/suspected-opioid-overdoses-in-shelters/,1,Backfilled (auto),City of Toronto Suspected Opioid Overdoses in Shelters Open Data supplied direct,no
444,RES-0519,https://opseu.org/employers/homes-first-society/,1,Backfilled (auto),OPSEU direct public statement,no
445,RES-0520,https://www.toronto.ca/legdocs/mmis/2025/ia/bgrd/backgroundfile-259266.pdf,1,Backfilled (auto),City of Toronto Housing Secretariat direct response to councillor inquiry and co,no
446,RES-0521,https://dixonhall.org/blog-post/dixon-hall-ratifies-new-four-year-collective-agreement-with-cupe-local-2497/,1,Backfilled (auto),Dixon Hall direct organizational announcement,no
447,RES-0522,https://dixonhall.org/wp-content/uploads/2021/09/Financial-Statements-Dixon-Hall-2019.pdf,1,Backfilled (auto),Dixon Hall own audited financial statements FY2019 FY2021 FY2022 FY2024 directly,no
