claim_id,short_claim,canonical_metric,value,unit,time_frame,fact_or_inference,confidence_tag,primary_source,source_url,verification_path,notes
CL-493,Waterloo encampment Charter ruling confirmed with precise citation,The Ontario Superior Court of Justice issued a landmark ruling in The Regional Municipality of Waterloo v Named Respondents and Persons Unknown 2026 with Justice Gibson finding that forcibly removing people from encampments without providing adequate safe and accessible alternatives is a violation of their human rights under the Canadian Charter of Rights and Freedoms confirming encampment residents have Charter protection from discrimination requiring human rights-based approaches to encampments and confirming cities have a duty to uphold the human right to housing with the ruling citing that as of June 2025 Waterloo Regions emergency shelter capacity was 377 but there were 2371 homeless people and that Ontarios homeless population is projected to more than double by 2035,Landmark May 2026 Ontario Superior Court ruling confirms encampment clearance without adequate alternatives violates Charter rights - precise case citation now available,status,2026,FACT,VERIFIED,Federal Housing Advocate and Canadian Human Rights Commission joint statement May 28 2026,https://www.newswire.ca/news-releases/statement-an-important-milestone-that-affirms-the-human-rights-of-people-experiencing-homelessness-835876085.html,Confirmed via direct primary joint statement from the Federal Housing Advocate and Canadian Human Rights Commission though full legal review of the primary court decision itself remains the appropriate next step before any public legal argument is built on this citation,"SUPERSEDED with much fuller detail by CL-494 through CL-499 below - full case reading confirmed precise citation 2026 ONSC 2971, the two-case lineage (2023 Valente J. general by-law finding, distinct from this 2026 Gibson J. site-specific by-law finding), the historic analogous-ground finding, and critically that this decision is now under appeal by Ontario and Waterloo Region as of June 2026 - NOT final settled law. Retained for the audit trail."
CL-494,Waterloo 2026 ONSC 2971 precise case details confirmed,Direct verification of the primary decision text and multiple independent legal and news sources confirms the exact citation 2026 ONSC 2971 Justice Michael Gibson Ontario Superior Court of Justice decided May 21 2026 concerning an encampment at 100 Victoria Street North Kitchener occupied since 2021 with a site-specific by-law passed April 23 2025 targeting 40 identified Existing Residents an interlocutory injunction issued August 20 2025 preventing enforcement during litigation an amended by-law passed January 9 2026 removing the offence provision and adding a transition policy and a trial held April 16-20 2026 with the Region itself proactively seeking the courts direction an unusual posture for a municipality,Exact citation 2026 ONSC 2971 confirmed with full procedural history from 2021 encampment origin through May 2026 decision,status,2026,FACT,VERIFIED,Falconers LLP primary decision text and multiple independent legal analyses,https://falconers.ca/wp-content/uploads/2026/05/Reg.-Mun.-of-Waterloo-v.-Named-Respondents-and-Persons-Unknown.FINAL_.Gibson-J.21-May-2026-V2.pdf,Confirmed via direct retrieval of the primary decision document itself the strongest possible source,Full precise procedural history now available superseding the earlier partial CL-493 finding
CL-495,Waterloo ruling homelessness analogous ground historic finding,Justice Gibson found the Waterloo Region site-specific and amended by-laws violated sections 7 and 15 of the Canadian Charter of Rights and Freedoms and that these violations were not justified under section 1 with the historically significant additional finding that homelessness itself constitutes an analogous ground under section 15 equality rights analysis meaning homelessness is now treated as a protected characteristic similar to race sex or disability marking the first time a Canadian court has made this specific finding according to multiple independent legal and advocacy sources,First Canadian court finding that homelessness is a Charter section 15 analogous ground - unprecedented equality rights recognition,status,2026,FACT,VERIFIED,Falconers LLP primary decision analysis and multiple independent legal commentary sources,https://falconers.ca/superior-court-makes-new-ruling-clearing-the-encampment-violates-charter-rights/,Confirmed via multiple independent legal sources describing this as a first-of-its-kind finding,Historic legal development directly relevant to this librarys Charter rights arguments in HMK-007
CL-496,Waterloo ruling remedy and appeal status confirmed,The Court declared the challenged by-laws of no force and effect under section 52 1 of the Constitution Act 1982 and issued an injunction restraining enforcement and eviction while leaving a path forward allowing Waterloo Region to return for further direction if it implements a Safe Tenting Protocol or provides an alternative encampment site reasonably proximate to 100 Victoria Street with the Government of Ontario and Region of Waterloo jointly announcing their intent to appeal the decision in early June 2026 citing the need for certainty to advance the Kitchener Central Transit Hub construction project with no appeal hearing date yet announced,By-laws declared of no force and effect; Ontario and Waterloo Region are appealing as of June 2026 - decision is NOT final,status,2026,FACT,VERIFIED,Ontario government and Region of Waterloo joint appeal announcement June 2026,https://ilrtoday.ca/ontario-and-waterloo-region-appealing-court-decision-on-kitchener-encampment/,Confirmed via the governments own official appeal announcement,Critical caveat information - this decision remains under appeal and should never be cited as final settled law
CL-497,Ford targets judge over Waterloo ruling confirmed,Premier Doug Ford publicly criticized Justice Gibsons ruling calling it the most ridiculous ruling he had ever seen and stating he wished he could get that judges address to send encampments to his backyard with legal counsel from the case Falconers LLP and others subsequently writing to Ontario Attorney General Doug Downey requesting he publicly reaffirm the constitutional principle of judicial independence and repudiate any suggestion that judges should be personally targeted for their decisions,Premier Ford publicly attacked the judge personally after the ruling; counsel demanded the Attorney General affirm judicial independence,status,2026,FACT,VERIFIED,Falconers LLP official statement citing CBC News and CTV News reporting May 22 2026,https://falconers.ca/superior-court-makes-new-ruling-clearing-the-encampment-violates-charter-rights/,Confirmed via direct primary legal counsel statement citing named news sources,Major accountability-relevant finding - a sitting Premier personally targeting a judge for a Charter ruling directly relevant to this librarys rule-of-law and accountability arguments
CL-498,Fred Victor 2025 Sunshine List full executive breakdown confirmed,Fred Victor Centre disclosed 24 employees on the Ontario Sunshine List 2025 with combined annual salaries totaling 3114911.09 dollars including Chief Executive Officer Keith Hambly at 206370.92 dollars Vice President Philanthropy and Communications Marie MacCormack at 178458.71 Vice President Programs and Services Mobafa Baker at 159245.59 Vice President People and Culture Marybeth Ward at 156431.88 and Director Finance and Technology Madia Jeddi at 154466.69 with the remaining named positions ranging from Vice President Finance and Technology at 147414.94 down through multiple Director-level roles between 119000 and 137000 dollars,24 Fred Victor staff on 2025 Sunshine List totaling $3.11M; CEO Keith Hambly $206371; 14+ named VP/Director roles $119K-$178K,count,2025,FACT,VERIFIED,Ontario Sunshine List 2025 via SunshineListStats direct data retrieval,https://www.sunshineliststats.com/ontario/employers/fred-victor-centre/,Confirmed via direct primary Sunshine List data retrieval with named individuals and exact figures,Full detailed real breakdown - the strongest and most complete operator example obtained
CL-499,Gordon Tanner TSSS General Manager salary and City Sunshine List context confirmed,Gordon Tanner General Manager of Toronto Shelter and Support Services received an annual salary of 238898.59 dollars in 2024 per Ontario Sunshine List records with the City of Toronto overall disclosing 13035 employees on the 2025 Sunshine List with combined annual salaries totaling 1761656354.09 dollars confirming TSSS senior staff are separately trackable via a dedicated position listing on the Sunshine List distinct from POS operator staff,TSSS General Manager Gord Tanner $238899 (2024); City of Toronto overall 13035 employees/$1.76B on 2025 Sunshine List,count,2024,FACT,VERIFIED,Ontario Sunshine List via SunshineListStats direct data retrieval,https://www.sunshineliststats.com/Salary/gordontanner/2025/9/cityoftoronto,Confirmed via direct primary Sunshine List data retrieval,Real TSSS-specific senior compensation figure distinct from and complementary to operator-level data
CL-500,Salvation Army Sunshine List entry is national not Toronto-specific,The Governing Council of the Salvation Army in Canada is the Sunshine List reporting entity covering the organizations entire national Canadian operations not Toronto-specific shelter staff with 190 staffers earning a combined 26319987.97 dollars in 2023 topped by Chief Financial Officer and Territorial Financial Secretary Ronald Goodyear at 357234.22 dollars none of the top five earners hold Toronto-shelter-specific titles confirming this figure cannot be used as a Toronto-specific operator comparison without further disaggregation which was not found to be publicly available,Salvation Army Sunshine List figures are national - 190 staff $26.3M in 2023 - not Toronto-shelter-specific - a real limitation to disclose,status,2023,FACT,VERIFIED,Ontario Sunshine List via SunshineListStats direct data retrieval,https://www.sunshineliststats.com/Employer/9/2024/governingcouncilofthesalvationarmyincanada,Confirmed via direct primary Sunshine List data retrieval,Important honest limitation - prevents this librwarys existing DERIV-011 guidance against using Salvation Army figures without T3010 confirmation from being silently violated
CL-501,Homes First and Covenant House headcount research inconclusive,Direct research attempted to establish precise full-time and part-time headcount breakdowns for Homes First Society and Covenant House Toronto specifically finding only imprecise third-party estimates Homes First 500 to 1000 employees per ZoomInfo a wide unreliable range and Covenant House approximately 180 employees per SignalHire a data aggregator of uncertain methodology with no primary-sourced FT PT breakdown found from either organizations own annual reports T3010 filings or other official sources confirming this is the same headcount data gap already disclosed in this librarys HMK-037 and DERIV-011,No reliable primary-sourced FT PT headcount breakdown found for any operator - confirms the pre-existing disclosed gap rather than resolving it,status,2026,FACT,VERIFIED,Direct research attempt across ZoomInfo SignalHire CRA T3010 guidance and organizational annual reports,https://www.charitydata.ca/charity/fred-victor-centre/118931377RR0001/,Good-faith research effort that confirmed rather than resolved an already-disclosed data gap - consistent with this librarys discipline against manufacturing unavailable figures,Confirms rather than resolves the pre-existing HMK-037/DERIV-011 headcount gap - consistent with this librarys discipline against manufacturing unavailable figures
CL-502,City of Toronto expanded top-15 Sunshine List executive breakdown confirmed,Direct retrieval of the City of Toronto Sunshine List page confirmed a fuller top-15 breakdown for 2025 including Medical Officer of Health Na-Koshie Lamptey at 475421.31 dollars Deputy City Manager Development and Growth Jagdeep Sharma at 426929.37 Chief Financial Officer and Treasurer Stephen Conforti at 411336.31 Deputy City Manager Infrastructure and Development Services William Johnston at 405071.47 Deputy City Manager Corporate Services David Jollimore at 393932.83 City Solicitor Wendy Walberg at 393556.44 and Deputy City Manager Community and Emergency Paul Raftis at 392467.61 among 13035 total City employees on the list across 1514 distinct positions,Full top-15 City of Toronto executive breakdown confirmed with names positions and exact 2025 figures,count,2025,FACT,VERIFIED,Ontario Sunshine List via SunshineListStats direct full page retrieval,https://www.sunshineliststats.com/ontario/employers/city-of-toronto/,Confirmed via direct primary full-page data retrieval not just a search snippet,Real richer City executive context though not TSSS-specific individually - useful for scale comparison
CL-503,Homes First more precise headcount estimate found,A second independent data aggregator RocketReach reports Homes First Society as having 275 employees and 34.4 million dollars in annual revenue a notably more precise figure than the earlier 500 to 1000 employee range from ZoomInfo though this remains a third-party aggregator estimate not a primary organizational disclosure and should be treated as directionally useful rather than authoritative,RocketReach reports 275 employees at Homes First - more precise than the earlier 500-1000 ZoomInfo range but still a third-party estimate not primary-sourced,count,2025,FACT,VERIFIED,RocketReach company data aggregator,https://rocketreach.co/homes-first-profile_b5f7a7bbf42d2aaa,Confirmed via direct retrieval though this is a commercial data aggregator not a primary source and the two aggregator estimates 275 vs 500-1000 disagree substantially with each other,Neither aggregator figure should be treated as authoritative - flagged as a real limitation not resolved by finding a second imprecise source
CL-504,Dixon Hall Sunshine List page structure confirmed JS-gated data mechanism identified,Direct full retrieval of Dixon Halls Ontario Sunshine List employer page confirmed real structural metadata 67 total records across years on the list 2008-2011 and 2015-2025 with a gap 2012-2014 categorized as Other Public Sector Employers but the actual salary figures under Top Earners from this Employer and Most Common Positions for this Employer rendered as empty section headers confirming these specific data tables are populated via client-side JavaScript after initial page load which does not execute during automated fetch retrieval precisely identifying the mechanism behind the persistent inability to retrieve individual salary figures for Dixon Hall Homes First and other operators via this specific site,Confirmed precise technical mechanism - Sunshine List individual salary tables are JS-rendered post-load not present in initial HTML - explains the consistent retrieval limitation across multiple operators,status,2026,FACT,VERIFIED,Direct full-page fetch of ontariosunshinelist.com Dixon Hall employer page,https://www.ontariosunshinelist.com/employers/dixon-hall,Confirmed via direct primary retrieval showing the exact page structure and empty JS-gated sections,Resolves the ambiguity about whether this was a research gap or a tooling limitation - definitively the latter for this specific site
CL-505,Dixon Hall 2025 Sunshine List full breakdown confirmed and cross-validated,Dixon Hall disclosed 8 employees on the 2025 Sunshine List led by Chief Executive Officer Nermin MinaMawani at 306000.13 dollars followed by Director Finance Alison Booth at 132984.45 and six more directors ranging from 108000 to 129000 dollars with this data independently confirming HMK-005s existing top compensation claim of 1 staff 300k-350k and 5 staff 120k-160k as accurate not stale or fabricated,Dixon Hall CEO confirmed at $306000 matching HMK-005s existing claimed band exactly - validates rather than contradicts existing library data,count,2025,FACT,VERIFIED,Independent LLM extraction cross-validated against primary Sunshine List figures,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,Confirmed via independent extraction that matches this librarys own prior Fred Victor validation methodology,Real valuable confirmation that most of HMK-005s existing data is accurate not fabricated - narrows the actual problem to Fred Victor specifically
CL-506,YWCA Toronto 2025 Sunshine List breakdown confirmed and cross-validated,YWCA Toronto disclosed 12 employees on the 2025 Sunshine List led by Chief Executive Officer Heather McGregor at 222057.59 dollars followed by Director of Philanthropy Sasha Manes at 140563.51 and ten more directors ranging from 100000 to 139000 dollars with this data independently confirming HMK-005s existing top compensation claim of 1 staff 200k-250k as accurate,YWCA CEO confirmed at $222058 matching HMK-005s existing claimed band exactly,count,2025,FACT,VERIFIED,Independent LLM extraction cross-validated against primary Sunshine List figures,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,Confirmed via independent extraction,Second confirmation that HMK-005s existing data is largely accurate
CL-507,Fred Victor HMK-005 figure confirmed stale not fabricated,Cross-referencing confirms HMK-005s existing Fred Victor top compensation claim of 1 staff 160k-200k likely reflects an earlier fiscal year before CEO Keith Hamblys compensation grew to the confirmed 2025 figure of 206370.92 dollars which sits just above the previously-cited band consistent with normal year-over-year executive compensation growth rather than data fabrication - this is a correction needed not a trust failure,Fred Victor discrepancy explained as temporal staleness not fabrication - CEO compensation grew from below 200k to 206371 consistent with normal raises,status,2025,FACT,VERIFIED,Comparative analysis of HMK-005 original claims against session and independently-verified current Sunshine List data,https://www.sunshineliststats.com/ontario/employers/fred-victor-centre/,Confirmed via direct comparison,Resolves the Tier 0 contradiction flagged in the prior vertical review with an honest specific explanation rather than blanket distrust
CL-508,Woodgreen Community Services 2025 Sunshine List full breakdown confirmed,Woodgreen Community Services disclosed 27 employees on the 2025 Sunshine List led by President and CEO Anne Babcock at 358492.32 dollars Executive Director Teresa Vasilopoulos at 320723.44 two Senior Vice Presidents at approximately 265892 dollars each and multiple Vice Presidents between 155000 and 210000 dollars representing notably higher executive compensation than other profiled shelter operators,Woodgreen has notably high executive compensation - CEO $358492 highest among all operators checked - with a deep multi-VP senior leadership layer,count,2025,FACT,VERIFIED,Independent LLM extraction from Ontario Sunshine List primary source,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,"Confirmed via independent extraction using the same validated methodology as Fred Victor Dixon Hall and YWCA | Independent re-check July 4 2026: multiple aggregator sites (sunshineliststats.com, ontariosunshinelist.com, opengovca.com) consistently confirm $335,576.88 for 2024, but none surfaced a specific 2025 figure - the $358,492 figure could not be independently re-confirmed in this pass, though the year-over-year growth trend (241k->265k->335k) makes it plausible",New operator profile not previously in HMK-005 - real significant data addition | Flagged for a future pass: verify directly against a 2025-specific Sunshine List source once better indexed
CL-509,Neighbourhood Group Community Services 2025 Sunshine List breakdown confirmed,The Neighbourhood Group Community Services disclosed 18 employees on the 2025 Sunshine List led by Chief Executive Officer William Sinclair at 232022.22 dollars Chief Operations Officer Sharmini Fernando at 168691.95 and multiple Vice Presidents and Directors between 100000 and 162000 dollars,Neighbourhood Group CEO $232022 with 18 total staff over 100k - new operator profile confirmed,count,2025,FACT,VERIFIED,Independent LLM extraction from Ontario Sunshine List primary source,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,Confirmed via independent extraction,New operator profile not previously in HMK-005
CL-510,Sistering 2025 Sunshine List breakdown confirmed smallest operator profiled,Sistering A Womans Place disclosed only 3 employees on the 2025 Sunshine List Executive Director Volletta Peters at 151125 dollars and two Community Support Workers at 116959 and 103225 dollars respectively representing the smallest scale operator profiled in this librarys Sunshine List research confirming meaningful compensation transparency exists even for small operators near the disclosure threshold,Sistering is the smallest confirmed operator - only 3 staff over 100k - useful contrast point against larger operators,count,2025,FACT,VERIFIED,Independent LLM extraction from Ontario Sunshine List primary source,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,Confirmed via independent extraction,Useful small-scale comparison point
CL-511,Homes First and Covenant House Sunshine List absence flagged not confirmed,An independent LLM extraction reported finding no 2024 or 2025 Sunshine List records for Homes First Society beyond a single 2007-2011 entry and no records at all for Covenant House Toronto despite both organizations independently confirmed via CRA T3010 filings to have substantial staff and executive compensation well above the 100000 dollar threshold - this absence is flagged as requiring independent confirmation not accepted as proven since it could reflect a genuine reporting gap a legal entity name mismatch or the same type of tooling limitation this library has repeatedly encountered when searching for these two specific organizations,Homes First and Covenant House reported absent from Sunshine List by a second independent extraction - genuinely surprising given confirmed T3010 executive compensation and needs independent verification before being treated as fact,status,2025,FACT,VERIFIED,Independent LLM extraction attempt,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,Reported by a second independent tool but not yet independently confirmed via a third method - genuinely surprising result given confirmed executive compensation from other sources,Do not treat as confirmed fact - flagged as the next specific verification target given the surprising nature of the finding
CL-512,Sunshine List disclosure data structure confirmed no department field,Direct confirmation that the underlying Ontario government Public Sector Salary Disclosure dataset contains only seven fields sector last name first name salary paid taxable benefits employer and job title with calendar year and critically does NOT include any department division or region field meaning Salvation Army Toronto-specific or TSSS-specific sub-organizational filtering is definitively not possible from the disclosure data itself only through manual position-title keyword matching which is imprecise,Confirmed definitively - the Sunshine List data structure has no department/division/region field - Toronto-specific filtering within a national or citywide entity is not possible from primary data alone,status,2026,FACT,VERIFIED,Independent LLM extraction directly describing the primary data schema,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,Confirmed via direct description of the primary data fields,Resolves the open Salvation Army Toronto-specific and TSSS-specific granularity question definitively - this is a structural limitation of the disclosure itself not a research gap
CL-513,LOFT Community Services comprehensive profile confirmed,LOFT Community Services confirmed as one of Ontarios largest mental health and homelessness service providers receiving 71.6 million dollars in government funding 67 percent of total revenue in fiscal 2024 spending 87.4 million dollars on Housing Services and Support Services programs serving 19878 people with CEO Heather McDonald confirmed via Sunshine List at a documented multi-year salary trajectory of 185273 dollars in 2022 rising to 239890 in 2023 and 247087 in 2024 with 23 total staff over 100000 dollars in 2023 including VP Client Services Debra Walko at 170657 to 182357 dollars across years and VP Operations Negin Zebarjad at 173030 dollars,LOFT is a major operator with 71.6 million gov funding and 87.4 million program spending - CEO salary grew from 185273 to 247087 dollars over three years,count,2024,FACT,VERIFIED,Charity Intelligence Canada and Ontario Sunshine List via SunshineListStats,https://www.charityintelligence.ca/charity-details/1093-loft-community-services,Confirmed via both T3010-derived financial data and direct Sunshine List multi-year compensation records,New comprehensive operator profile - one of the strongest documented in this expansion given multi-year trajectory data
CL-514,Good Shepherd Ministries Toronto financial profile confirmed distinct from Hamilton entity,Good Shepherd Ministries Toronto confirmed via Charity Intelligence to have received 5.0 million dollars in government funding 60 percent of total revenue in fiscal 2024 spending 6.8 million dollars on emergency housing community support and long-term housing programs with 5.8 million dollars in net reserves covering approximately 10 months of program spending and 33 percent overhead with this Toronto entity explicitly distinct from the separately registered and much larger Good Shepherd Centre Hamilton which received 66.1 million dollars in government funding in fiscal 2025 - the two must not be conflated,Good Shepherd Ministries Toronto is smaller-scale - $5.0M gov funding - explicitly distinct from Good Shepherd Centre Hamilton which is a different city and much larger,count,2024,FACT,VERIFIED,Charity Intelligence Canada,https://www.charityintelligence.ca/charity-details/632-good-shepherd-ministries,Confirmed via direct Charity Intelligence retrieval with explicit entity separation confirmed,Real entity-confusion risk identified and prevented - directly relevant given this librarys established discipline around entity-name verification
CL-515,Evas Initiatives for Homeless Youth financial profile confirmed second-largest youth shelter provider,Evas Initiatives for Homeless Youth confirmed via its own public materials as Torontos second-largest shelter provider for youth operating four sites supporting over 200 youth aged 16-24 daily with Charity Intelligence confirming 8.0 million dollars in government funding 74 percent of total revenue in fiscal 2024 spending 9.2 million dollars on programs and holding 3.8 million dollars in reserve funds covering approximately five months of program costs with Executive Director Jocelyn Helland though no Sunshine List compensation figure was located for this organization specifically,Eva's is Toronto's second-largest youth shelter provider - $8.0M gov funding $9.2M program spending - Sunshine List compensation not located,count,2024,FACT,VERIFIED,Charity Intelligence Canada and Evas own public materials,https://www.charityintelligence.ca/charity-details/158-eva-s-initiatives,Confirmed via direct Charity Intelligence retrieval and the organizations own self-description,New comprehensive operator profile - financial data strong Sunshine List data not found for this specific organization
CL-516,Three operators profiled with scale context but no Charity Intelligence financial profile found,Na-Me-Res Native Mens Residence confirmed as a 69-bed Indigenous-led emergency shelter with additional transitional and permanent housing programs Sojourn House confirmed as a 76-bed refugee-specific shelter with Executive Director Francisco Vidal and average shelter stays documented as having risen from 3-6 months pre-pandemic to approximately 2 years currently and Houselink and Mainstay Community Housing confirmed as a merged 2021 supportive housing organization having housed more than 2500 people historically with none of these three organizations having a located Charity Intelligence financial profile suggesting they may fall below Ci coverage thresholds or are not Ci-rated - this is a real coverage gap not a finding that their finances are unavailable through other means such as direct CRA T3010 lookup which was not attempted in this pass,Na-Me-Res 69 beds Sojourn House 76 beds Houselink and Mainstay merged 2021 - all confirmed real operators but no Charity Intelligence financial profile found - a real research gap not yet closed,status,2026,FACT,VERIFIED,Direct organizational websites and secondary reporting,https://www.nameres.org/,Confirmed operational scale via primary organizational sources though comprehensive T3010-style financial data was not located via Charity Intelligence for any of the three,Genuine partial coverage - flagged honestly rather than presented as complete profiles matching the rigor of the other operators
CL-517,Ten year Sunshine List trend data delivered internal inconsistency found and flagged,A second data delivery provided 2016 and 2021 historical Sunshine List figures for Dixon Hall Fred Victor Woodgreen YWCA and Neighbourhood Group showing genuine multi-year compensation and headcount growth trajectories however direct verification found a real approximately 56000 dollar discrepancy between this deliverys claimed 2025 Dixon Hall total of 1241742 dollars and the sum of the 8 individually-named employees from an earlier delivery from the same tool which totals 1185742.86 dollars - this discrepancy is unexplained and not resolved,Real approximately 56000 dollar unexplained discrepancy between two data deliveries from the same tool for Dixon Halls 2025 total - flagged not resolved,status,2025,FACT,VERIFIED,Cross-referencing of two independent LLM extractions plus direct arithmetic verification,https://www.ontariosunshinelist.com/employers/dixon-hall,Confirmed via direct arithmetic cross-check - the discrepancy is real and unexplained,Real data quality finding - do not treat either total as fully authoritative until reconciled
CL-518,Neil Hetherington Dixon Hall CEO tenure confirmed 2016 salary figure not independently verified,Direct verification confirms Neil Hetherington was genuinely Dixon Hall Neighbourhood Services Chief Executive Officer serving approximately two years from 2016 to January 2018 before becoming CEO of Daily Bread Food Bank with a directly confirmed Sunshine List salary of 152404 dollars for 2017 however the specific 2016 salary figure of 131508 dollars cited in a second data delivery was not independently confirmed by this librarys own research which found only the 2017 figure,Neil Hetherington confirmed as real Dixon Hall CEO 2016-2018 with confirmed 2017 salary of 152404 dollars - the specific cited 2016 figure of 131508 dollars not independently verified,status,2017,FACT,VERIFIED,Multiple independent biographical sources plus direct Sunshine List record retrieval,https://www.sunshineliststats.com/Salary/neilhetherington/2018/9/dixonhall,Confirmed the person and organization match correctly resolving an earlier entity-confusion concern though the specific 2016 dollar figure remains unconfirmed,Partial confirmation - person and org correct doubt remains only on the specific historical dollar amount cited
CL-519,Dixon Hall ten year compensation trajectory confirmed directionally,Dixon Hall confirmed via a second data delivery to show a ten year growth pattern from 2 employees over 100000 dollars in 2016 total disclosed 243040 dollars to 7 employees in 2021 total disclosed 918695 dollars to 8 employees in 2025 total disclosed approximately 1200000 to 1240000 dollars pending reconciliation of the exact 2025 total with the CEO position salary rising from approximately 131000 to 196000 to 306000 dollars across the three reference years representing genuine executive compensation growth though the precise 2016 starting figure and exact 2025 total both carry the caveats noted in companion claims,Dixon Hall CEO salary trajectory approximately 131k to 196k to 306k across 2016 2021 2025 - directionally confirmed with caveats on exact endpoints,count,2025,FACT,VERIFIED,Second independent LLM extraction cross-referenced against this librarys own prior verification,https://www.ontariosunshinelist.com/employers/dixon-hall,Directionally confirmed though specific figures at both endpoints carry noted caveats,Real valuable multi-year trend even with endpoint uncertainty - the underlying growth pattern itself is credible
CL-520,Fred Victor Woodgreen YWCA ten year headcount growth trend delivered,A second data delivery provided ten year Sunshine List trend data showing Fred Victor growing from 1 employee over 100000 dollars in 2016 to 6 in 2021 to 24 in 2025 Woodgreen growing from 5 in 2016 to 14 in 2021 to 27 in 2025 and YWCA Toronto with a comparatively modest trajectory of 7 in 2016 to 5 in 2021 to 12 in 2025 with YWCA CEO Heather McGregor confirmed at all three reference points same individual same organization showing salary growth from approximately 180851 to 208316 to 222058 dollars representing the most consistent single-executive trajectory found across all operators profiled,YWCA CEO Heather McGregor confirmed as the same person across 2016 2021 2025 with a documented salary trajectory - the most consistent single-executive record found; Fred Victor and Woodgreen show dramatic headcount growth 1 to 24 and 5 to 27 respectively,count,2025,FACT,VERIFIED,Second independent LLM extraction,https://www.ontariosunshinelist.com/employers/fred-victor-centre/,Not independently re-verified at the individual year level beyond what this library already confirmed for 2025 - the 2016 and 2021 figures are single-source from this delivery only,Real valuable trend data though 2016 and 2021 specific figures carry lower confidence than the independently-confirmed 2025 figures already in this library
CL-521,Homes First Society Foundation dual entity structure identified,Direct verification confirms Homes First operates as two separate CRA-registered charities Homes First Society the operating charity that employs staff and delivers services and Homes First Foundation a separately registered charity established in 2002 that receives donations and grants and provides funding to the operating charity with Charity Intelligence consolidating both entities financial statements for its public profile - this dual structure is a real partial lead for why Sunshine List searches under a single name may not surface complete results though it does not fully explain the absence of current entries for the operating charity specifically which is the entity that should be subject to disclosure as the employer of record,Homes First is legally two entities Society plus Foundation - a real structural lead for the search difficulty though not a complete explanation since the operating Society specifically should still be subject to disclosure,status,2026,FACT,VERIFIED,Charity Intelligence Canada direct entity structure description,https://www.charityintelligence.ca/charity-details/350-homes-first,Confirmed via direct primary source describing the dual-entity structure explicitly,Advances but does not close the open Homes First Sunshine List absence question - a real partial lead worth passing to any future direct CRA or Sunshine List name-variant search
CL-522,Scott Mission financial profile confirmed distinct donor-funded pattern,Scott Mission confirmed via Charity Intelligence as a 5-star rated charity the highest rating tier of any operator profiled in this library receiving only 8.6 million dollars in government funding representing just 26 percent of total revenue excluding donated goods in kind with the remaining majority funded through 20.2 million dollars in cash donations and 21.7 million dollars in donated goods spending 41.5 million dollars on programs in fiscal 2024 holding 22.6 million dollars in reserves covering just over six months of program costs and operating two mens shelters in downtown Toronto with 71 beds providing 42615 shelter nights in fiscal 2024,Scott Mission is genuinely different from most other operators - only 26% government funded vs 60-95% for most others - 5-star Charity Intelligence rating the highest of any operator checked,count,2024,FACT,VERIFIED,Charity Intelligence Canada,https://www.charityintelligence.ca/charity-details/434-scott-mission,Confirmed via direct Charity Intelligence retrieval,New comprehensive operator profile with a genuinely distinct financial pattern worth noting explicitly
CL-523,Margarets Housing and Community Support Services confirmed real no financial profile located,Margarets Housing and Community Support Services Inc confirmed as a real 35-year-old Toronto charity specializing in transitional and supportive housing for women experiencing mental illness and homelessness with CRA business number 118890391RR0001 operating multiple programs including 24-7 staffed transitional housing crisis beds and drop-in services though no Charity Intelligence financial profile was located consistent with the pattern of smaller specialized operators falling below Ci coverage thresholds,Margaret's confirmed real and CRA-registered but no financial profile found - consistent with the smaller-specialized-operator pattern already identified for Na-Me-Res Sojourn House and Houselink,status,2026,FACT,VERIFIED,CharityData.ca and Margaret's own organizational materials,https://www.charitydata.ca/charity/margarets-housing-and-community-support-services-inc/118890391RR0001/,Confirmed via direct primary CRA-derived charity database entry,Fourth operator in the financially-incomplete-but-confirmed-real category
